Key,English,Spanish,Portuguese
Play,Play,Jugar,Jogar
Exit,Exit,Salir,Saída
Pause,Pause,Pausa,Pausa
Credits,Credits,Créditos ,Créditos 
Settings,Settings,Ajustes,Configurações
Music,Music,Música ,Música 
SFX,SFX,Efectos de sonido,Efeitos sonoros
Resolutions,Resolutions,Resolución ,Resoluções
Restart,Restart,Reiniciar,Reiniciar
English,English,English,English
Spanish,Español,Español,Español
Portuguese,Português,Português,Português
Rush all you want... the outcome remains unchanged.,Rush all you want... the outcome remains unchanged.,"Por mucha prisa que tengas, el resultado será el mismo.",Apresse o quanto quiser... o resultado permanece o mesmo.
One step at a time...,One step at a time...,Un paso a la vez...,Um passo de cada vez...
Or is it that you fell?,Or is it that you fell?,o ¿es que te caíste?,Ou será que você caiu?
"I really don't want to tell you this,","Hate to say it, really… but watch your step.","De verdad que no quiero decirte esto,","Odeio dizer isso, realmente... mas cuidado onde pisa."
Would be a shame if you fell.,Would be a shame if you fell.,pero cuidado con la caída,Seria uma pena se você caísse.
"Don't worry, this sand trap was made just for people like you","Don't worry, this sand trap was made just for people like you","Tranquilo, coloqué esta trampa de arena para gente como tú","Não se preocupe, esta armadilha de areia foi feita apenas para pessoas como você"
HAHAHAHAHAHAHAHAHA,HAHAHAHAHAHAHAHAHA,JAJAJAJAJAJAJAJAJA,HAHAHAHAHAHAHAHAHA
"Easy there, brain! We're on sand, not at home doing… that.","Easy there, brain! We're on sand, not at home doing… that.","¡Atrás, pensamientos intrusivos, atrás!","Calma aí, cérebro! Estamos na areia, não em casa fazendo... isso."
He...,He...,Ho...,Ol...
Stupid... stupid... stupid! I should’ve beaten him! Damn it all!,Stupid... stupid... stupid! I should’ve beaten him! Damn it all!,¡Estúpido... estúpido... estúpido! ¡Tendría que haberlo derrotado! ¡Maldita sea!,Estúpido... estúpido... estúpido! Eu deveria ter batido nele! Maldito seja!
Are you okay?,Are you okay?,¿Te encuentras bien?,Você está bem?
What do you think? Do I look okay to you?,What do you think? Do I look okay to you?,¿Tú qué crees? ¿Te parece que estoy bien?,O que você acha? Eu pareço bem para você?
...,...,...,...
"Sorry... It’s this place. Every time I come back here, I lose it. It’s like everything I felt that day is still waiting for me.","Sorry... It’s this place. Every time I come back here, I lose it. It’s like everything I felt that day is still waiting for me.",Perdón... Es este lugar. Siempre que vuelvo aquí... pierdo el control. Es como si todo lo que sentí ese día aún estuviera esperándome.,"Desculpe... é este lugar. Cada vez que volto aqui, eu perco o controle. É como se tudo que senti naquele dia ainda estivesse esperando por mim."
You’ve been here before?,You’ve been here before?,¿Volver?,Você já esteve aqui antes?
Wait... if you’re here... that means you challenged him too.,Wait... if you’re here... that means you challenged him too.,Espera... si tú estás aquí... eso significa que también lo desafiaste.,Espere... se você está aqui... isso significa que você o desafiou também.
"Kid... I respect your courage, but don’t make the same mistake I did. Don’t end up like me...","Kid... I respect your courage, but don’t make the same mistake I did. Don’t end up like me...","Chico... admiro tu valentía, pero no cometas mi error. No termines como yo...","Garoto... respeito sua coragem, mas não cometa o mesmo erro que eu. Não acabe como eu..."
Sometimes... giving up is the only way to walk away without dragging your regrets behind you,Sometimes... giving up is the only way to walk away without dragging your regrets behind you,"Te recomiendo aceptar tu destino. A veces, rendirse es la única forma de irse sin arrastrar remordimientos",Às vezes... desistir é a única maneira de ir embora sem arrastar seus arrependimentos atrás de você
I can’t do that. This is the most important moment in my owner’s life. He needs me. I’m not leaving him—not now,I can’t do that. This is the most important moment in my owner’s life. He needs me. I’m not leaving him—not now,No puedo. Es el momento más importante en la vida de mi dueño. Me necesita. No puedo abandonarlo ahora... no cuando más importa.,"Eu não posso fazer isso. Este é o momento mais importante na vida do meu dono. Ele precisa de mim. Eu não vou deixá-lo, não agora"
"You need to face reality, kid. It’s a lost cause. This is his ring, his rules. Guts won’t get you through this. Don’t pick a fight you can’t win","You need to face reality, kid. It’s a lost cause. This is his ring, his rules. Guts won’t get you through this. Don’t pick a fight you can’t win","Entiende tu situación chico, es una causa perdida. Este lugar es su ring, sus reglas. Aquí no ganas con agallas. No elijas combates que no puedas ganar","Você precisa encarar a realidade, garoto. É uma causa perdida. Este é o seu anel, suas regras. A coragem não vai ajudar você a superar isso. Não escolha uma luta que você não pode vencer"
"You, of all people—a boxer—should know: a fight isn’t over until the bell rings","You, of all people—a boxer—should know: a fight isn’t over until the bell rings","Tú, siendo boxeador, sabes que el combate no termina hasta que la campana suene","Você, entre todas as pessoas – um boxeador – deveria saber: uma luta não termina até que o sinal toque"
"...I hate to admit it, but that bell rang for me a long time ago","...I hate to admit it, but that bell rang for me a long time ago","...Odio admitirlo, pero esa campana sonó hace mucho para mí.","... odeio admitir, mas aquele sinal tocou para mim há muito tempo"
Maybe it is a lost cause... but I’m not giving up. Not when he still believes in me.,Maybe it is a lost cause... but I’m not giving up. Not when he still believes in me.,Tal vez sí sea una causa perdida… pero no puedo darme por vencido ahora. No cuando él cree en mí,Talvez seja uma causa perdida... mas não vou desistir. Não quando ele ainda acredita em mim.
"Look... I shouldn’t ask you this, but I can’t stand by and let that bastard take down someone else","Look... I shouldn’t ask you this, but I can’t stand by and let that bastard take down someone else","Escucha, no debería pedirte esto, pero no puedo quedarme quieto mientras ese bastardo cobra otra víctima.","Olha... eu não deveria te perguntar isso, mas não posso ficar parado e deixar aquele bastardo derrubar outra pessoa"
"Digging up the past again, Kira? Come back now, or crawl away like you did last time","Digging up the past again, Kira? Come back now, or crawl away like you did last time","¿Otra vez desenterrando el pasado, Kira? Vuelve ahora, o tendrás que arrastrarte como la última vez.","Desenterrando o passado novamente, Kira? Volte agora ou rasteje como você fez da última vez"
"Take my rage, kid. Use it to break through that wall of ice... and end the God of the Limbo… for those of us who couldn’t.","Take my rage, kid. Use it to break through that wall of ice... and end the God of the Limbo… for those of us who couldn’t.","Usa mi rabia, chico... rompe ese muro de hielo... y acaba con el Dios del Limbo...","Aceite minha raiva, garoto. Use-o para romper aquela parede de gelo... e acabar com o Deus do Limbo... para aqueles de nós que não conseguiram."
"Carry me with you, even if it's just as fury. Do what I couldn’t","Carry me with you, even if it's just as fury. Do what I couldn’t","Llévame contigo, chico… aunque sea en tu rabia. Haz lo que yo no pude.","Leve-me com você, mesmo que seja com a mesma fúria. Faça o que eu não pude"
